year_month,upi_volume_lakh,upi_value_crore,era,date,year,month_name,month,upi_volume_crore,upi_value_lakh_cr,avg_txn_value_rs,vol_mom_growth_pct,val_mom_growth_pct,vol_yoy_growth_pct,val_yoy_growth_pct
2024-06,138851.42,2007081.2,Scale (2023+),2024-06-01,2024,Jun,Jun-2024,1388.514,20.0708,1445.49,-1.0736868458844806,-1.851198793625464,48.74183760183695,36.03048564707525
2024-07,144355.54,2064292.41,Scale (2023+),2024-07-01,2024,Jul,Jul-2024,1443.555,20.6429,1430.01,3.964035801722443,2.85046813252996,44.873380031043794,34.60993522863986
2024-08,149630.47,2060735.57,Scale (2023+),2024-08-01,2024,Aug,Aug-2024,1496.305,20.6074,1377.22,3.6541237004135807,-0.1723031089379323,41.34728803061118,30.712832870132974
2024-09,150417.47,2063994.71,Scale (2023+),2024-09-01,2024,Sep,Sep-2024,1504.175,20.6399,1372.18,0.5259623925528034,0.158154207043637,42.498986565251506,30.704283599436486
2024-10,165849.66,2349821.46,Scale (2023+),2024-10-01,2024,Oct,Oct-2024,1658.497,23.4982,1416.84,10.259572907322534,13.848230744738688,45.37006991977239,36.954471371117606
2024-11,154820.21,2155187.41,Scale (2023+),2024-11-01,2024,Nov,Nov-2024,1548.202,21.5519,1392.06,-6.65026988900671,-8.282929291147079,37.798118642577336,23.87981274978688
2024-12,167300.09,2324699.94,Scale (2023+),2024-12-01,2024,Dec,Dec-2024,1673.001,23.247,1389.54,8.06088559109952,7.865326663169392,39.182150152584484,27.524103315097403
2025-01,169960.01,2348037.11,Scale (2023+),2025-01-01,2025,Jan,Jan-2025,1699.6,23.4804,1381.52,1.5899094854043394,1.0038788059675283,39.27702966594002,27.53557948799044
2025-02,161061.93,2196481.7,Scale (2023+),2025-02-01,2025,Feb,Feb-2025,1610.619,21.9648,1363.75,-5.2353962558604366,-6.4545576964922695,33.07963455676279,20.16623069914707
2025-03,183015.08,2477221.59,Scale (2023+),2025-03-01,2025,Mar,Mar-2025,1830.151,24.7722,1353.56,13.630253902955225,12.781344365400347,36.1718939964601,25.21634420158627
2025-04,178934.24,2394925.87,Scale (2023+),2025-04-01,2025,Apr,Apr-2025,1789.342,23.9493,1338.44,-2.229783469209201,-3.3220976408493086,34.49663311634084,21.912401349961776
2025-05,186774.6,2514297.01,Scale (2023+),2025-05-01,2025,May,May-2025,1867.746,25.143,1346.17,4.381699109125248,4.984335485924651,33.06974151819739,22.952293812662816
2025-06,183950.06,2403930.69,Scale (2023+),2025-06-01,2025,Jun,Jun-2025,1839.501,24.0393,1306.84,-1.5122720112906163,-4.389549824903138,32.47978306595638,19.772468099447103
2025-07,194679.48,2508498.1,Scale (2023+),2025-07-01,2025,Jul,Jul-2025,1946.795,25.085,1288.53,5.832789616921041,4.349851284605877,34.86110751274249,21.51854494296184
2025-08,200083.1,2485472.9,Scale (2023+),2025-08-01,2025,Aug,Aug-2025,2000.831,24.8547,1242.22,2.77564949320801,-0.9178878788068556,33.7181524591883,20.61095737770955
2025-09,196334.33,2489736.52,Scale (2023+),2025-09-01,2025,Sep,Sep-2025,1963.343,24.8974,1268.11,-1.8736065164924098,0.1715416007955772,30.526281289001854,20.62707854517709
2025-10,207009.21,2727790.71,Scale (2023+),2025-10-01,2025,Oct,Oct-2025,2070.092,27.2779,1317.71,5.437092942431421,9.561420981204872,24.817385817975147,16.08501992317324
2025-11,204669.79,2631632.64,Scale (2023+),2025-11-01,2025,Nov,Nov-2025,2046.698,26.3163,1285.79,-1.1301043079194328,-3.5251263833213864,32.19836738368977,22.106904846850405
2025-12,216346.68,2796712.71,Scale (2023+),2025-12-01,2025,Dec,Dec-2025,2163.467,27.9671,1292.7,5.705233781692942,6.272914672467356,29.316535334798676,20.304244942682796
2026-01,217034.45,2833481.26,Scale (2023+),2026-01-01,2026,Jan,Jan-2026,2170.344,28.3348,1305.54,0.3179018046405968,1.314706007110744,27.697362456027165,20.674466682513383
2026-02,203941.84,2684229.3,Scale (2023+),2026-02-01,2026,Feb,Feb-2026,2039.418,26.8423,1316.17,-6.032503134870993,-5.26744122528624,26.6232436181536,22.20585766774199
